	Title	Location
0	Data Scientist	Montreal, QC
1	Senior Data Scientist	Vancouver, BC
2	Staff Data Scientist	Greater Toronto Area, Canada
3	Data Science Product Manager	Toronto, ON
4	Research Scientist, Google Research	Montreal, QC
5	Applied Research Scientist	Mississauga, ON
6	Process Data Scientist	Toronto, ON
7	Research Scientist - Deep Learning	Toronto, ON
8	Data Scientist - Product Data Science	Toronto, ON
9	Data Scientist	Quebec, Canada
10	Operations Research Scientist/Data Scientist - Vancouver, Canada/Remote	Vancouver, BC
11	Data Scientist	Toronto, Ontario, Canada
12	Data Scientist	Vancouver, BC
13	Data Scientist	Ottawa, ON
14	Data Scientist Associate	Montreal, QC
15	Data Scientist	Toronto, ON
16	AI Researcher	Greater Montreal Metropolitan Area
17	Artificial Intelligence  Researcher	Burnaby, BC
18	Data Scientist	Toronto, ON
19	Data Scientist Graduate	Toronto, ON
20	Machine Learning Engineer	Markham, ON
21	Data Scientist, Ecommerce	Toronto, ON
22	Data Scientist	Toronto, ON
23	Research Scientist	Toronto, ON
24	Senior Data Scientist	Toronto, ON
25	Data Scientist	Mississauga, ON
26	Digital Data Scientist	Dorval, QC
27	Senior Research Scientist	Montreal, QC
28	Data Scientist	Edmonton, AB
29	Research Scientist	Toronto, ON
30	Data Scientist	Greater Toronto Area, Canada
31	Data Scientist	Calgary, AB
32	Research Scientist	Waterloo, ON
33	Data Scientist (Remote)	Toronto, ON
34	Data Scientist	Toronto, ON
35	DATA SCIENTIST	Montreal, QC
36	Lead Data Scientist- Innovation Lab	Toronto, ON
37	Data Scientist, Verily Health Platforms	Waterloo, ON
38	Data Scientist	Vancouver, BC
39	Data Scientist	Toronto, ON
40	Data Scientist	Toronto, ON
41	Data Scientist	Montreal, QC
42	Senior Data Scientist	Calgary, AB
43	Data Scientist / Developer	Montreal, QC
44	Senior Data Scientist	Vancouver, BC
45	Senior Data Scientist	Canada
46	Staff Research Scientist	Toronto, ON
47	Data Scientist	Montreal, QC
48	Data Scientist	Greater Montreal Metropolitan Area
49	Data Scientist	Toronto, ON
50	Analyst Data Science	Toronto, ON
51	Data Scientist, Growth	Canada
52	Lead Data Scientist	Montreal, QC
53	Data Scientist	Toronto, ON
54	Data Scientist	Toronto, ON
55	Data Scientist, Advanced Analytics, Global Risk Management - Toronto, ON	Greater Toronto Area, Canada
56	Data Scientist	Toronto, ON
57	Data Scientist, Omnia AI	Toronto, ON
58	Senior Data Scientist	Toronto, ON
59	Data Scientist	Richmond Hill, ON
60	Data Scientist	Calgary, AB
61	Senior Data Scientist	Toronto, ON
62	Data Scientist	Edmonton, AB
63	Machine Learning Engineer	Mississauga, ON
64	Applied Data Scientist	Montreal, QC
65	Data Scientist	Oakville, ON
66	Machine Learning Engineer	Montreal, QC
67	Data Scientist	Toronto, ON
68	Senior Data Scientist	Montreal, QC
69	Data Scientist	Montreal, QC
70	Applied Machine Learning Research Scientist	Montreal, QC
71	Data Scientist	Toronto, ON
72	Data Scientist, Analytics	Toronto, ON
73	Data Scientist	Toronto, ON
74	Data Scientist - Innovation & Attributes	Toronto, ON
75	Researcher — Staff Scientist	Vancouver, BC
76	Research Scientist, Toronto	Toronto, ON
77	Senior Data Scientist	Toronto, ON
78	Data and Analytics Quantitative Analyst	Montreal, QC
79	Data Scientist	Canada
80	Data Scientist	Richmond Hill, ON
81	Educator, Data Scientist	Toronto, ON
82	Research Scientist	Boisbriand, QC
83	Remote Sensing Scientist	Winnipeg, MB
84	Data Scientist	Kitchener, ON
85	Senior Machine Learning Engineer - Renewables	Vancouver, BC
86	Data Scientist / Senior Data Scientist - North American Integrated Analytics	Greater Toronto Area, Canada
87	Data Scientist - Canada	Toronto, ON
88	Consultant, Data Science	Toronto, ON
89	Expert Data Science	Montreal, QC
90	UX Quantitative Researcher	Toronto, ON
91	Quantitative Engineer -Global Markets - FAST Credit Strats	Toronto, ON
92	Applied Research Scientist - NLP/ML	Toronto, ON
93	Inference Data Scientist	Halifax, NS
94	Machine Learning Researcher	Vancouver, BC
95	Machine Learning Engineer	Toronto, ON
96	Data Scientist	Boucherville, QC
97	Data Scientist - RACE21	Vancouver, BC
98	Data Analyst	Victoria, BC
99	Analyst, Data & Modelling	Toronto, ON
100	Data Scientist / Scientifique des données	Montreal, QC
101	Data Scientist	Vancouver, BC
102	Data Scientist - Data Analytics and Infrastructure (remote)	Toronto, ON
103	Data Scientist, Machine Learning	Waterloo, ON
104	Data Science Analyst (Remote)	Toronto, ON
105	Machine Learning Engineer	Vancouver, BC
106	Clinical Research Scientist	Montreal, QC
107	Data Science Analyst	Toronto, ON
108	Data Scientist	Canada
109	Machine Learning Researcher	Vancouver, BC
110	Data Scientist (Digital Solutions)	Vancouver, BC
111	Quantitative UX Researcher	Toronto, ON
112	Machine Learning Engineer - NLP	Toronto, ON
113	Data Scientist	Toronto, ON
114	Junior Data Analyst	Vancouver, BC
115	Data Visualization Analyst	Toronto, ON
116	Senior Data Scientist	Greater Toronto Area, Canada
117	Data Scientist / Engineer	Toronto, ON
118	Research Scientist, CryptoEconLab	Edmonton, Alberta, Canada
119	Data Scientist, People Analytics	Brampton, ON
120	Postdoctoral Researcher	Montréal-Est, QC
121	Data Scientist	Québec, QC
122	Product Data Scientist	Montreal, QC
123	Machine Learning Applied Scientist	Vancouver, BC
124	Senior Data Scientist	Montreal, QC
125	Data Scientist, R&D for Data Analytics Platform	Toronto, ON
126	Machine Learning Scientist - Senior	Montreal, QC
127	Data Analyst	Toronto, ON
128	Data Scientist	Toronto, ON
129	Senior Consultant - Advanced Solutions, Energy Data Scientist - Campus 2021	Toronto, ON
130	Research & Analytics Director - Data Scientist	Toronto, ON
